ID,R1 (corrects),R2 (corrects),R1_Q1,R1_Q2,R1_Q3,R1_Q4,R1_Q5,R1_Q6,R1_Q7,R2_Q1,R2_Q2,R2_Q3,R2_Q4,R2_Q5,R2_Q6,R2_Q7
P41CS,5,7,1,1,1,1,0,1,0,1,1,1,1,1,1,1
P42CS,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P43CS,6,7,1,1,1,1,1,0,1,1,1,1,1,1,1,1
P44CS,5,5,0,1,1,1,1,1,0,1,1,0,1,1,0,1
P45CS,5,6,1,0,1,1,0,1,1,1,1,1,1,1,0,1
P46CS,4,6,1,1,0,1,0,0,1,1,1,0,1,1,1,1
P47CS,4,7,0,0,1,1,1,0,1,1,1,1,1,1,1,1
P48CS,6,7,1,1,1,1,1,0,1,1,1,1,1,1,1,1
P50CS,6,7,1,1,1,1,1,0,1,1,1,1,1,1,1,1
P51CS,5,7,1,1,1,1,0,0,1,1,1,1,1,1,1,1
P53CS,6,6,1,1,1,1,1,1,0,1,1,1,1,1,1,0
P54CS,5,4,1,0,0,1,1,1,1,0,0,1,0,1,1,1
P59CS,6,7,1,1,0,1,1,1,1,1,1,1,1,1,1,1
P60CS,6,7,1,1,0,1,1,1,1,1,1,1,1,1,1,1
P62CS,6,7,1,1,1,1,1,0,1,1,1,1,1,1,1,1
